Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD3,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Die Planung gemeinsamer Aktivitäten ist schwierig, weil es zu Missverständnissen kommt.","The planning of joint activities is difficult, because it leads to misunderstandings.","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD3_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD9,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"In unserer Familie / Partnerschaft ist es schwer, Entscheidungen zu treffen.",In our family / partnership it is difficult to make decisions.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD9_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD10,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Wir können uns gut darüber einigen, wie wir Probleme angehen.",We can agree well about how to tackle problems we.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD7,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Die Situation in unserer Familie ist häufig 
angespannt.","The situation in our family is often
tense.","1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD7_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD11,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,Wir kommen nicht gut miteinander klar.,We do not get along well with each other.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD11_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD1,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,Wir können unsere Gefühle zueinander in Worte fassen.,We can each put into words our feelings.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD5,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,Wir können nicht miteinander über traurige Gefühle sprechen.,We can not talk about sad feelings.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD5_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_FAD6,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Wir vermeiden es, über unsere Ängste und Sorgen zu sprechen.",We avoid talking there about our fears and worries.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",BZGA_FAD6_R,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_PSSX,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Es fällt mir schwer, die Kinder unter den notwendigen Änderungen im Alltag einigermaßen zufrieden zu halten.",I find it difficult to keep the children under the necessary changes in everyday life somewhat satisfied.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_PSS2,Unipark,Viele Familien verbringen jetzt mehr Zeit miteinander. Wie sehr stimmen Sie den folgenden Aussagen zu Ihrer Familie/Partnerschaft zu?,Many families now spend more time together. How much do you agree with the following statements about your family / partnership?,"Ich mache mir manchmal Sorgen, ob ich genug für meine Kinder tue.",I sometimes worry whether I am doing enough for my children.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_CPS1,Unipark,Wie sehr treffen die folgenden Aussagen zu?In der letzten Woche hatten mein*e Partner*in und ich ... ,"How much the following statements are true? In the last week, my partner had * e * in and I ...","... kleinere Meinungsverschiedenheiten (z.B. einander auf die Nerven gehen, Diskussionen).","... minor disagreements (for example, go to each other's nerves, discussions).","1	Trifft überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Trifft voll und ganz zu","1 Strongly Disagree
2
3
4
5
6
7 Agree completely to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Familienzusammenhalt,BZgA - Family Closeness,BZGA_CPS2,Unipark,Wie sehr treffen die folgenden Aussagen zu?In der letzten Woche hatten mein*e Partner*in und ich ... ,"How much the following statements are true? In the last week, my partner had * e * in and I ...","... größere Meinungsverschiedenheiten (z.B. große Streitereien, Handgreiflichkeiten).","... more disagreements (as large quarrels, fisticuffs).","1	Trifft überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Trifft voll und ganz zu","1 Strongly Disagree
2
3
4
5
6
7 Agree completely to",Keine,"NA
-77",keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Belastung / Telefonberatung,BZgA - load / phone consulting,BURDEN,Unipark,keine,no,Empfinden Sie Ihre persönliche Situation momentan als belastend?,Do you consider your personal situation currently as stressful?,"1	Ja
2	Nein","1 Yes
2 No",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Belastung / Telefonberatung,BZgA - load / phone consulting,PHONE_BURDEN,Unipark,keine,no,"Haben Sie in der aktuellen Situation schon einmal daran gedacht, telefonische Beratungsangebote in Anspruch zu nehmen?
Ein solches telefonisches Beratungsangebot ist beispielsweise die Telefonseelsorge (0800 1110111).","Do you have in the current situation ever thought to take telephone counseling offers?
Such telephonic counseling services, for example, the telephone counseling service (0800 1110111).","1	Ja
2	Nein","1 Yes
2 No",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,tba,tba,tba,tba,tba,tba
BZgA - Belastung / Telefonberatung,BZgA - load / phone consulting,"PHONE_TSS
PHONE_NGKKJ 
PHONE_SM
PHONE_ET
PHONE_PT
PHONE_SIN
PHONE_SBS
PHONE_GGT
PHONE_FB
PHONE_OTHER
PHONE_OTHER_TXT
PHONE_NO",Unipark,keine,no,"Haben Sie in der aktuellen Situation schon einmal daran gedacht, folgende telefonische Beratungsangebote in Anspruch zu nehmen?",Do you have in the current situation ever thought to take the following telephone counseling offers?,"PHONE_TSS    Telefonseelsorge: 0800 1110111
PHONE_NGKKJ    Hilfetelefon sexueller Missbrauch: 0800 22 55 530
PHONE_SM    Hilfetelefon sexueller Missbrauch: 0800 22 55 530
PHONE_ET    Elterntelefon: 0800 111 0550
PHONE_PT    Pflegetelefon: 030 2017 9131
PHONE_SIN    Hilfetelefon ""Schwangere in Not"": 0800 404 0020
PHONE_SBS    Schwangerschaftsberatungsstellen
PHONE_GGT    Hilfetelefon ""Gewalt gegen Frauen"": 0800 011 6016
PHONE_FB    Andere Fachberatungsstellen
PHONE_OTHER    Andere Beratungsangebote, und zwar:
PHONE_OTHER_TXT    Andere Beratungsangebote, und zwar: (Freitext)
PHONE_NO    Nein, ich habe noch nicht daran gedacht, telefonische Beratungsangebote in Anspruch zu nehmen

0	not quoted
 1	quoted","PHONE_TSS Telefonseelsorge: 0800 1110111
PHONE_NGKKJ Help Phone sexual abuse: 0800 22 55 530
PHONE_SM Help Phone sexual abuse: 0800 22 55 530
PHONE_ET parents Telephone: 0800 111 0550
PHONE_PT Care Phone: 030 2017 9131
PHONE_SIN Help Phone ""Pregnant in Need"": 0800 404 0020
PHONE_SBS pregnancy counseling centers
PHONE_GGT Help Phone ""violence against women"": 0800 011 6016
PHONE_FB Other counseling services
PHONE_OTHER Other counseling services, namely:
PHONE_OTHER_TXT Other counseling services, namely: (free text)
PHONE_NO No, I have not thought about taking telephone counseling offers

0 not quoted
 1 quoted",Keine,"NA
-77",keine,PHONE_NO ist exklusiv,PHONE_NO is exclusive,Nein,No,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,BUY_ABX,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.",Kauf von Medikamenten wie Antibiotika,Purchase of medicines such as antibiotics,"1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,anti,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,BUY_MEDICS,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.","Kauf von Medikamenten, die ich regelmäßig einnehme",Purchase of medicines that I take regularly,"1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,medizin,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,BUY_FOOD,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.",Kauf von Lebensmittelvorräten in großem Umfang,Purchase of food supplies on a large scale,"1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,essen,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,BUY_OTHER,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.","Kauf von anderen, alltäglichen Dingen (z.B. Zahnpasta [ab Welle 2: und Toilettenpapier]) in großem Umfang","Purchase of other, everyday things (for example, toothpaste [from wave 2: and toilet paper]) on a large scale","1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,zahnpasta,"in Welle 1: (z.B. Zahnpasta)
ab Welle 2: (z.B. Zahnpasta und Toilettenpapier) 
bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","in shaft 1 (e.g., toothpaste)
from shaft 2 (e.g., toothpaste and toilet paper)
to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Itemformulierung, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, Itemformulierung, answers, instruction and position in the questionnaire",Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,BUY_SANITIZER,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.",Kauf von Desinfektionsmitteln,Purchase of disinfectants,"1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,desinfect,Keine,No,Nein,No,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,AVOID_FOREIGNERS,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.","Personen meiden, die aus Ländern kommen, in denen Coronaviren-Fälle aufgetreten sind, wie z.B. China oder Italien","Avoid people who come from countries where Corona virus cases have occurred, such as China and Italy","1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,avoid,Keine,No,Nein,No,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,AVOID_EVENTS,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.","Großveranstaltungen, an denen ich teilnehmen wollte, fernbleiben","Major events in which I wanted to take part to stay away,","1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,keine,Keine,No,Nein,No,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,CANCEL_TRAVEL,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.",Flüge oder Zugfahrten absagen,cancel flights or train rides,"1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,keine,Keine,No,Nein,No,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,CANCEL_HOLIDAY,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.",Urlaubsreisen stornieren,cancel holiday travel,"1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,keine,Keine,No,Nein,No,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,CANCEL_BUSINESS,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.","Next, we would like to know if you have implemented the following behaviors or plan to implement them.",Berufliche Reisen stornieren,Cancel Professional Travel,"1	Das habe ich bereits getan.
2	Ich habe vor, das zu tun.
3	Ich habe nicht vor, das zu tun.","1 I have already done.
2 I have to do before that.
3 I'm not going to do that.",Keine,NA,keine,Keine,No,Nein,No,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,CORONA_PARTY,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.","Gezielt eine Ansteckung provozieren, damit ich danach immun bin","Deliberately provoke a contagion, so I'm immune thereafter","1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,party,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,CANCEL_ALL_TRAVELS,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.",Reisen absagen,cancel trips,"1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,absage,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Verhaltensweisen,behavior,STAY_HOME,Unipark,"Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen ergriffen haben, um mit der jetzigen Corona-Situation umzugehen.","Next, we would like to know if you have taken the following behaviors to deal with the current situation corona.",Von Zuhause aus arbeiten,To work from home,"1	Ja
2	Nein
3	Trifft nicht zu","1 Yes
2 No
3 Not applicable",Keine,NA,zuhause,"bis Welle 3: 
Instruktion: Als nächstes würden wir gerne wissen, ob Sie folgende Verhaltensweisen umgesetzt haben oder planen, diese umzusetzen.
Antwortvorgaben: 1	Das habe ich bereits getan. / 2	Ich habe vor, das zu tun. / 3	Ich habe nicht vor, das zu tun.","to shaft 3:
Instructions: Next, we would like to know if you have implemented the following behaviors or plan to implement them.
Possible answers: 1 I've already done. / 2 I have to do before that. / 3 I'm not going to do that.","Ja, Antwortvorgaben, Instruktion und Position im Fragebogen","Yes, answers, instruction and position in the questionnaire",Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W4,Confidence in information sources (Corona) W4,TRUST2_DOC,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Ihr Arzt/ Ihre Ärztin,Your doctor / health care professional,"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W4,Confidence in information sources (Corona) W4,TRUST2_CARE,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Pflegedienst,nursing,"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W4,Confidence in information sources (Corona) W4,TRUST2_BMG,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Webseite des Bundesgesundheitsministeriums (BMG),Website of the Federal Ministry of Health (BMG),"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W4,Confidence in information sources (Corona) W4,TRUST2_BZGA,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Webseite der BZgA (Bundeszentrale für gesundheitliche Aufklärung),Website BZgA (Federal Center for Health Education),"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W4,Confidence in information sources (Corona) W4,TRUST2_RKI,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Webseite des RKI (Robert-Koch-Insitut),Website of the RKI (Robert Koch Institute),"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
